time (min)	GST (deg)	GST (min)	GST (sec)	GST (hour)	GST (min)	GST (sec)
3170	263.0000	17.0000	3.2213	17.0000	33.0000	8.2148
3180	265.0000	47.0000	27.8625	17.0000	43.0000	9.8575
3190	268.0000	17.0000	52.5037	17.0000	53.0000	11.5002
3200	270.0000	48.0000	17.1449	18.0000	3.0000	13.1430
3210	273.0000	18.0000	41.7861	18.0000	13.0000	14.7857
3220	275.0000	49.0000	6.4273	18.0000	23.0000	16.4285
3230	278.0000	19.0000	31.0684	18.0000	33.0000	18.0712
3240	280.0000	49.0000	55.7096	18.0000	43.0000	19.7140
3250	283.0000	20.0000	20.3508	18.0000	53.0000	21.3567
3260	285.0000	50.0000	44.9920	19.0000	3.0000	22.9995
3270	288.0000	21.0000	9.6332	19.0000	13.0000	24.6422
3280	290.0000	51.0000	34.2744	19.0000	23.0000	26.2850
3290	293.0000	21.0000	58.9156	19.0000	33.0000	27.9277
3300	295.0000	52.0000	23.5567	19.0000	43.0000	29.5704
3310	298.0000	22.0000	48.1979	19.0000	53.0000	31.2132
3320	300.0000	53.0000	12.8391	20.0000	3.0000	32.8559
3330	303.0000	23.0000	37.4803	20.0000	13.0000	34.4987
3340	305.0000	54.0000	2.1215	20.0000	23.0000	36.1414
3350	308.0000	24.0000	26.7627	20.0000	33.0000	37.7842
3360	310.0000	54.0000	51.4038	20.0000	43.0000	39.4269
3370	313.0000	25.0000	16.0450	20.0000	53.0000	41.0697
3380	315.0000	55.0000	40.6862	21.0000	3.0000	42.7124
3390	318.0000	26.0000	5.3274	21.0000	13.0000	44.3552
3400	320.0000	56.0000	29.9686	21.0000	23.0000	45.9979
3410	323.0000	26.0000	54.6098	21.0000	33.0000	47.6407
3420	325.0000	57.0000	19.2509	21.0000	43.0000	49.2834
3430	328.0000	27.0000	43.8921	21.0000	53.0000	50.9261
3440	330.0000	58.0000	8.5333	22.0000	3.0000	52.5689
3450	333.0000	28.0000	33.1745	22.0000	13.0000	54.2116
3460	335.0000	58.0000	57.8157	22.0000	23.0000	55.8544
3470	338.0000	29.0000	22.4569	22.0000	33.0000	57.4971
3480	340.0000	59.0000	47.0981	22.0000	43.0000	59.1399
3490	343.0000	30.0000	11.7392	22.0000	54.0000	0.7826
3500	346.0000	0.0000	36.3804	23.0000	4.0000	2.4254
3510	348.0000	31.0000	1.0216	23.0000	14.0000	4.0681
3520	351.0000	1.0000	25.6628	23.0000	24.0000	5.7109
3530	353.0000	31.0000	50.3040	23.0000	34.0000	7.3536
3540	356.0000	2.0000	14.9452	23.0000	44.0000	8.9963
3550	358.0000	32.0000	39.5863	23.0000	54.0000	10.6391
3560	1.0000	3.0000	4.2275	0.0000	4.0000	12.2818
3570	3.0000	33.0000	28.8687	0.0000	14.0000	13.9246
3580	6.0000	3.0000	53.5099	0.0000	24.0000	15.5673
3590	8.0000	34.0000	18.1511	0.0000	34.0000	17.2101
3600	11.0000	4.0000	42.7923	0.0000	44.0000	18.8528
3610	13.0000	35.0000	7.4334	0.0000	54.0000	20.4956
3620	16.0000	5.0000	32.0746	1.0000	4.0000	22.1383
3630	18.0000	35.0000	56.7158	1.0000	14.0000	23.7811
3640	21.0000	6.0000	21.3570	1.0000	24.0000	25.4238
3650	23.0000	36.0000	45.9982	1.0000	34.0000	27.0665
3660	26.0000	7.0000	10.6394	1.0000	44.0000	28.7093
3670	28.0000	37.0000	35.2806	1.0000	54.0000	30.3520
3680	31.0000	7.0000	59.9217	2.0000	4.0000	31.9948
3690	33.0000	38.0000	24.5629	2.0000	14.0000	33.6375
3700	36.0000	8.0000	49.2041	2.0000	24.0000	35.2803
3710	38.0000	39.0000	13.8453	2.0000	34.0000	36.9230
3720	41.0000	9.0000	38.4865	2.0000	44.0000	38.5658
3730	43.0000	40.0000	3.1277	2.0000	54.0000	40.2085
3740	46.0000	10.0000	27.7688	3.0000	4.0000	41.8513
3750	48.0000	40.0000	52.4100	3.0000	14.0000	43.4940
3760	51.0000	11.0000	17.0512	3.0000	24.0000	45.1367
3770	53.0000	41.0000	41.6924	3.0000	34.0000	46.7795
3780	56.0000	12.0000	6.3336	3.0000	44.0000	48.4222
3790	58.0000	42.0000	30.9748	3.0000	54.0000	50.0650
3800	61.0000	12.0000	55.6159	4.0000	4.0000	51.7077
3810	63.0000	43.0000	20.2571	4.0000	14.0000	53.3505
3820	66.0000	13.0000	44.8983	4.0000	24.0000	54.9932
3830	68.0000	44.0000	9.5395	4.0000	34.0000	56.6360
3840	71.0000	14.0000	34.1807	4.0000	44.0000	58.2787
3850	73.0000	44.0000	58.8219	4.0000	54.0000	59.9215
3860	76.0000	15.0000	23.4631	5.0000	5.0000	1.5642
3870	78.0000	45.0000	48.1042	5.0000	15.0000	3.2069
3880	81.0000	16.0000	12.7454	5.0000	25.0000	4.8497
3890	83.0000	46.0000	37.3866	5.0000	35.0000	6.4924
3900	86.0000	17.0000	2.0278	5.0000	45.0000	8.1352
3910	88.0000	47.0000	26.6690	5.0000	55.0000	9.7779
3920	91.0000	17.0000	51.3102	6.0000	5.0000	11.4207
3930	93.0000	48.0000	15.9513	6.0000	15.0000	13.0634
3940	96.0000	18.0000	40.5925	6.0000	25.0000	14.7062
3950	98.0000	49.0000	5.2337	6.0000	35.0000	16.3489
3960	101.0000	19.0000	29.8749	6.0000	45.0000	17.9917
3970	103.0000	49.0000	54.5161	6.0000	55.0000	19.6344
3980	106.0000	20.0000	19.1573	7.0000	5.0000	21.2772
3990	108.0000	50.0000	43.7984	7.0000	15.0000	22.9199
4000	111.0000	21.0000	8.4396	7.0000	25.0000	24.5626
4010	113.0000	51.0000	33.0808	7.0000	35.0000	26.2054
4020	116.0000	21.0000	57.7220	7.0000	45.0000	27.8481
4030	118.0000	52.0000	22.3632	7.0000	55.0000	29.4909
4040	121.0000	22.0000	47.0044	8.0000	5.0000	31.1336
4050	123.0000	53.0000	11.6456	8.0000	15.0000	32.7764
4060	126.0000	23.0000	36.2867	8.0000	25.0000	34.4191
4070	128.0000	54.0000	0.9279	8.0000	35.0000	36.0619
4080	131.0000	24.0000	25.5691	8.0000	45.0000	37.7046
4090	133.0000	54.0000	50.2103	8.0000	55.0000	39.3474
4100	136.0000	25.0000	14.8515	9.0000	5.0000	40.9901
4110	138.0000	55.0000	39.4927	9.0000	15.0000	42.6328
4120	141.0000	26.0000	4.1338	9.0000	25.0000	44.2756
4130	143.0000	56.0000	28.7750	9.0000	35.0000	45.9183
4140	146.0000	26.0000	53.4162	9.0000	45.0000	47.5611
4150	148.0000	57.0000	18.0574	9.0000	55.0000	49.2038
4160	151.0000	27.0000	42.6986	10.0000	5.0000	50.8466
