Time(sec)	Xin(m)	Yin(m)	Zin(m)	x(m)	y(m)	z(m)
75000	25538335.995680	1579097.438995	-7539563.371106	24594273.194963	-7058461.600207	-7539563.371106
75300	25199891.348474	2232821.824729	-8432413.448780	24349805.563150	-6863452.943866	-8432413.448780
75600	24813785.692717	2882324.521868	-9309313.848108	24079921.628835	-6647490.459011	-9309313.848108
75900	24380706.680849	3526372.241099	-10168589.962614	23785895.722737	-6409783.468065	-10168589.962614
76200	23901431.237399	4163739.698802	-11008597.129132	23469068.939701	-6149629.792031	-11008597.129132
76500	23376824.479193	4793211.790479	-11827723.763591	23130843.516399	-5866419.710458	-11827723.763591
76800	22807838.414794	5413586.080952	-12624394.462114	22772676.951284	-5559639.546203	-12624394.462114
77100	22195510.578793	6023674.766278	-13397073.061535	22396075.889907	-5228874.857628	-13397073.061535
77400	21540962.401823	6622307.153172	-14144265.653293	22002589.799875	-4873813.222327	-14144265.653293
77700	20845397.478020	7208331.815245	-14864523.544555	21593804.460809	-4494246.598001	-14864523.544555
78000	20110099.578755	7780619.018130	-15556446.160286	21171335.295652	-4090073.247733	-15556446.160286
78300	19336430.656228	8338062.654038	-16218683.879910	20736820.570613	-3661299.218583	-16218683.879910
78600	18525828.530920	8879582.622405	-16849940.802104	20291914.491809	-3208039.364206	-16849940.802104
78900	17679804.512392	9404126.903033	-17448977.431206	19838280.227392	-2730517.904030	-17448977.431206
79200	16799940.741755	9910673.839749	-18014613.278678	19377582.884529	-2229068.513439	-18014613.278678
79500	15887887.580296	10398233.983723	-18545729.373030	18911482.471090	-1704133.941336	-18545729.373030
79800	14945360.641072	10865852.295553	-19041270.671616	18441626.872249	-1156265.153501	-19041270.671616
80100	13974137.793463	11312610.062538	-19500248.367721	17969644.872417	-586120.002178	-19500248.367721
80400	12976055.875323	11737626.959360	-19921742.086426	17497139.253054	5538.575579	-19921742.086426
80700	11953007.508508	12140062.729875	-20304901.962786	17025679.996832	617844.826185	-20304901.962786
81000	10906937.530096	12519119.127220	-20648950.595968	16556797.628462	1249832.907674	-20648950.595968
81300	9839839.439961	12874041.598435	-20953184.873144	16091976.722177	1900440.068868	-20953184.873144
81600	8753751.554110	13204121.039037	-21216977.657056	15632649.605387	2568510.268582	-21216977.657056
81900	7650753.318997	13508695.239948	-21439779.331407	15180190.287419	3252798.221789	-21439779.331407
82200	6532961.229783	13787150.482684	-21621119.198417	14735908.641506	3951973.857604	-21621119.198417
82500	5402524.811889	14038922.914722	-21760606.723163	14301044.867268	4664627.171916	-21760606.723163
82800	4261622.319675	14263499.917881	-21857932.619607	13876764.259896	5389273.455505	-21857932.619607
83100	3112456.653112	14460421.248613	-21912869.773524	13464152.311063	6124358.876596	-21912869.773524
83400	1957250.883305	14629280.211029	-21925273.997907	13064210.165233	6868266.394923	-21925273.997907
83700	798243.890860	14769724.651815	-21895084.616794	12677850.453618	7619321.982659	-21895084.616794
84000	-362314.253892	14881457.870938	-21822324.873903	12305893.526385	8375801.125885	-21822324.873903
84300	-1522166.637797	14964239.390639	-21707102.162863	11949064.102042	9135935.578738	-21707102.162863
84600	-2679054.187978	15017885.646542	-21549608.076333	11607988.351078	9897920.340958	-21549608.076333
84900	-3830720.391472	15042270.512432	-21350118.271770	11283191.428965	10659920.828231	-21350118.271770
85200	-4974915.735908	15037325.755889	-21108992.152161	10975095.471628	11420080.203605	-21108992.152161
85500	-6109402.493171	15003041.324769	-20826672.360518	10684018.064312	12176526.837228	-20826672.360518
85800	-7231959.302318	14939465.542107	-20503684.087563	10410171.192581	12927381.860815	-20503684.087563
